instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
763,4,7.2289,7.2289,7.2289
764,9,31.2268,1.8587,8.5502
765,8,29.0640,0.0000,5.4187
766,4,0.0000,0.0000,0.0000
767,7,16.0494,2.4691,2.4691
768,5,1.4493,0.0000,1.4493
769,6,4.0323,0.0000,0.8065
770,8,15.0943,7.5472,9.4340
771,9,41.0256,1.5385,15.3846
772,4,7.6923,0.0000,7.6923
773,7,5.1852,0.0000,2.2222
774,9,18.8525,0.0000,10.2459
775,9,21.0526,0.0000,4.7847
776,5,4.3478,4.3478,4.3478
777,6,0.0000,0.0000,0.0000
778,10,12.2388,0.0000,2.6866
779,4,0.0000,0.0000,0.0000
780,7,24.3243,13.5135,15.5405
781,8,25.5102,5.6122,11.7347
782,10,26.2295,0.0000,4.9180
783,8,20.2381,0.0000,15.4762
784,10,77.7027,16.8919,32.4324
785,10,38.5321,0.0000,6.4220
786,7,39.8374,0.0000,10.5691
787,6,43.1818,2.2727,4.5455
788,8,15.5405,0.0000,10.1351
789,5,47.3684,47.3684,47.3684
790,4,0.0000,0.0000,0.0000
791,7,11.7187,0.0000,2.3438
792,8,15.5689,0.0000,2.9940
793,10,57.3529,0.0000,13.7255
794,4,7.0175,7.0175,7.0175
795,7,27.4336,2.6549,13.2743
796,4,16.9811,0.0000,0.0000
797,6,32.2581,0.0000,3.2258
798,6,57.5342,28.7671,34.2466
799,5,0.0000,0.0000,0.0000
800,10,6.2201,1.6746,2.1531
801,8,23.1183,0.0000,2.6882
802,4,0.0000,0.0000,0.0000
803,10,10.4418,0.0000,5.2209
804,9,5.0847,0.0000,0.0000
805,6,16.0000,0.0000,6.0000
806,10,64.3137,0.0000,11.7647
807,10,18.4290,0.0000,3.0211
808,5,0.0000,0.0000,0.0000
809,4,11.1111,0.0000,0.0000
810,8,3.7500,0.0000,1.2500
811,5,21.4286,0.0000,21.4286
812,8,16.6667,12.8205,14.1026
813,4,0.0000,0.0000,0.0000
814,10,19.6721,0.0000,13.5246
815,9,36.2903,0.0000,7.6613
816,8,24.2152,0.0000,6.2780
817,10,32.4324,0.0000,7.2072
818,7,38.3333,4.4444,10.0000
819,6,62.3377,22.0779,22.0779
820,4,0.0000,0.0000,0.0000
821,5,2.9851,2.9851,2.9851
822,9,18.1250,0.0000,2.1875
823,5,8.9744,0.0000,8.9744
824,6,14.9123,0.0000,6.1404
825,10,32.9670,0.5495,7.1429
826,6,15.7895,2.6316,2.6316
827,7,13.4228,0.0000,10.0671
828,5,17.8295,0.0000,6.2016
829,8,33.1210,0.0000,10.1911
830,4,0.0000,0.0000,0.0000
